Date,Close,Volume,10k Earnings Sentiment,Comp 1,Comp 2,S&P Price Change,Interest rate change
1/25/2018,39.580002,7034600,0.139,0.0026,0.01981,0.00353,
1/26/2018,40.209999,5504700,0.139,0.00427,0.00847,0.00349,
1/29/2018,40.16,5791900,0.139,-0.0017,0.00408,0.00351,
1/30/2018,39.630001,5453700,0.139,-0.0082,-0.0196,0.00355,
1/31/2018,39.68,6981700,0.139,0.00766,0.001,0.00355,
2/1/2018,39.66,5474400,0.139,-0.0041,0.01028,0.00355,
2/2/2018,38.68,6192000,0.139,-0.022,-0.0205,0.00363,
2/5/2018,36.880001,10395400,0.139,-0.0922,-0.0518,0.00379,
2/6/2018,37.669998,9275000,0.139,-0.0151,0.01683,0.00372,
2/7/2018,37.5,8031500,0.139,0.00454,0.00644,0.00374,
2/8/2018,34.98,9244100,0.139,-0.0372,-0.0552,0.00388,
2/9/2018,35.029999,11802200,0.139,0.01318,0.02362,0.00382,
2/12/2018,36.240002,7027400,0.139,0.00659,0.02483,0.00377,
2/13/2018,36.009998,4509900,0.139,0.02655,0.00724,0.00376,
2/14/2018,36.700001,6964800,0.139,0.02672,0.01451,0.00371,
2/15/2018,36.84,5219300,0.139,0.00789,0.01237,0.00366,
2/16/2018,36.73,4413100,0.139,-0.0012,0.01222,0.00366,
2/20/2018,36.560001,4235100,0.139,0,0.00126,0.00368,
2/21/2018,36.57,4423200,0.139,-0.0037,-0.0131,0.0037,
2/22/2018,36.330002,7871200,0.139,-0.0154,-0.0107,0.0037,
2/23/2018,37.150002,3101300,0.139,0.00612,0.02148,0.00364,
2/26/2018,37.389999,5200300,0.139,0.01352,0.01272,0.0036,
2/27/2018,36.810001,6428400,0.139,-0.0127,-0.0108,0.00364,
2/28/2018,36.389999,4691300,0.139,-0.0135,-0.0092,0.00368,
3/1/2018,35.849998,7483000,0.139,-0.0188,-0.0459,0.00374,
3/2/2018,35.93,5433800,0.139,0.00174,0.00838,0.00372,
3/5/2018,36.23,6491300,0.139,0.00314,0.01622,0.00367,
3/6/2018,36.200001,4312700,0.139,-0.009,-0.0034,0.00366,
3/7/2018,36.299999,4320800,0.139,-0.0082,-0.0023,0.00367,
3/8/2018,36.84,4141600,0.139,0.00212,0.00613,0.00365,
3/9/2018,37.279999,5151300,0.139,0.02662,0.01712,0.00359,
3/12/2018,36.98,3977600,0.139,-0.0036,-0.0034,0.00359,
3/13/2018,36.68,5419700,0.139,-0.0079,-0.0105,0.00361,
3/14/2018,36.099998,4231800,0.139,-0.0162,-0.0113,0.00363,
3/15/2018,34.669998,11288300,0.139,0.00353,-0.0143,0.00364,
3/16/2018,35.200001,13767800,0.139,-0.0164,0.01552,0.00365,
3/19/2018,35.259998,7071400,0.139,-0.0075,-0.0065,0.0037,
3/20/2018,35.400002,4799800,0.139,-0.0105,-0.0089,0.00369,
3/21/2018,35.299999,4325100,0.139,-0.002,-0.0066,0.0037,
3/22/2018,33.73,5728000,0.139,-0.0412,-0.0397,0.00379,
3/23/2018,32.509998,7830300,0.139,-0.0295,-0.0253,0.00388,
3/26/2018,33.299999,8755000,0.139,0.0257,0.02455,0.00377,
3/27/2018,32.669998,5625000,0.139,-0.0228,-0.0217,0.00384,
3/28/2018,33.110001,8187000,0.139,0.00744,0.00071,0.00385,
3/29/2018,33.529999,5954100,0.139,0.01807,0.02348,0.0038,
4/2/2018,32.66,6253000,0.139,-0.0202,-0.0327,0.00388,
4/3/2018,33.43,5184700,0.139,0.01422,0.01466,0.00383,
4/4/2018,33.91,4956100,0.139,0.01594,0.01544,0.00379,
4/5/2018,34.799999,8173200,0.139,0.00661,0.00614,0.00376,
4/6/2018,33.810001,4349800,0.139,-0.0193,-0.0248,0.00385,
4/9/2018,33.860001,3661700,0.139,0.00038,0.00469,0.00383,
4/10/2018,34.459999,4297800,0.139,0.00708,0.0174,0.00377,
4/11/2018,34.240002,4217400,0.139,-0.0131,-0.0139,0.00379,
4/12/2018,34.830002,4300900,0.139,0.01483,0.01001,0.00376,
4/13/2018,34.07,5729200,0.139,-0.0343,-0.0149,0.00377,
